source,date,author,url,pick,team,player,position,school,conference,source-abb,last-name,draft-id
Fantasy Life,2025-03-29,Matthew Freedman,https://www.nflmockdraftdatabase.com/mock-drafts/2025/fantasy-life-2025-matthew-freedman?date=2025-03-29,26,los-angeles-rams,Josh Simmons,OT,Ohio St.,Big Ten,Fantasy Life,Freedman,Fantasy Life - Freedman!1
Fantasy Life,2025-03-29,Matthew Freedman,https://www.nflmockdraftdatabase.com/mock-drafts/2025/fantasy-life-2025-matthew-freedman?date=2025-03-29,27,baltimore-ravens,Tyler Booker,IOL,Alabama,SEC,Fantasy Life,Freedman,Fantasy Life - Freedman!1
Fantasy Life,2025-03-29,Matthew Freedman,https://www.nflmockdraftdatabase.com/mock-drafts/2025/fantasy-life-2025-matthew-freedman?date=2025-03-29,28,detroit-lions,Mike Green,EDGE,Marshall,Sun Belt,Fantasy Life,Freedman,Fantasy Life - Freedman!1
Fantasy Life,2025-03-29,Matthew Freedman,https://www.nflmockdraftdatabase.com/mock-drafts/2025/fantasy-life-2025-matthew-freedman?date=2025-03-29,29,washington-commanders,James Pearce Jr.,EDGE,Tennessee,SEC,Fantasy Life,Freedman,Fantasy Life - Freedman!1
Fantasy Life,2025-03-29,Matthew Freedman,https://www.nflmockdraftdatabase.com/mock-drafts/2025/fantasy-life-2025-matthew-freedman?date=2025-03-29,30,buffalo-bills,Maxwell Hairston,CB,Kentucky,SEC,Fantasy Life,Freedman,Fantasy Life - Freedman!1
Fantasy Life,2025-03-29,Matthew Freedman,https://www.nflmockdraftdatabase.com/mock-drafts/2025/fantasy-life-2025-matthew-freedman?date=2025-03-29,31,kansas-city-chiefs,Grey Zabel,IOL,North Dakota St.,FCS,Fantasy Life,Freedman,Fantasy Life - Freedman!1
Fantasy Life,2025-03-29,Matthew Freedman,https://www.nflmockdraftdatabase.com/mock-drafts/2025/fantasy-life-2025-matthew-freedman?date=2025-03-29,32,philadelphia-eagles,Donovan Ezeiruaku,EDGE,Boston College,ACC,Fantasy Life,Freedman,Fantasy Life - Freedman!1
Pro Football Network,2025-03-29,Brentley Weissman,https://www.nflmockdraftdatabase.com/mock-drafts/2025/pro-football-network-2025-brentley-weissman?date=2025-03-29,1,tennessee-titans,Cameron Ward,QB,Miami (FL),ACC,Pro Football Network,Weissman,Pro Football Network - Weissman!1
Pro Football Network,2025-03-29,Brentley Weissman,https://www.nflmockdraftdatabase.com/mock-drafts/2025/pro-football-network-2025-brentley-weissman?date=2025-03-29,2,cleveland-browns,Abdul Carter,EDGE,Penn St.,Big Ten,Pro Football Network,Weissman,Pro Football Network - Weissman!1
Pro Football Network,2025-03-29,Brentley Weissman,https://www.nflmockdraftdatabase.com/mock-drafts/2025/pro-football-network-2025-brentley-weissman?date=2025-03-29,3,new-york-giants,Shedeur Sanders,QB,Colorado,Big 12,Pro Football Network,Weissman,Pro Football Network - Weissman!1
Pro Football Network,2025-03-29,Brentley Weissman,https://www.nflmockdraftdatabase.com/mock-drafts/2025/pro-football-network-2025-brentley-weissman?date=2025-03-29,4,new-england-patriots,Travis Hunter,CB,Colorado,Big 12,Pro Football Network,Weissman,Pro Football Network - Weissman!1
